1,2,3
58.76,807.1,58.76
1.56,1359.25,1.56
19.77,776.64,19.77
70.23,719.1,70.23
4.42,944.38,4.42
17.3,743.12,17.3
4.56,1233.49,4.56
17.83,703.56,17.83
64.21,356.16,64.21
25.26,482.37,25.26
21.04,1357.89,21.04
6.64,1145.86,6.64
22.37,527.53,22.37
53.7,981.71,53.7
25.74,587.89,25.74
184.18,952.36,184.18
201.48,913.31,201.48
40.8,960.51,40.8
74.11,1020.45,74.11
16.1,1343.74,16.1
205.33,618.95,205.33
2.2,946.17,2.2
185.05,194.74,185.05
1.56,1230.32,1.56
6.71,516.67,6.71
10.49,921.04,10.49
6.73,558.82,6.73
15.43,794.09,15.43
149.3,564.06,149.3
21.35,679.84,21.35
67.72,842.1,67.72
59.52,1072.67,59.52
58.63,902.64,58.63
7.79,510.78,7.79
5.64,740.01,5.64
33.6,1280.58,33.6
45.4,1151.94,45.4
7.07,854.0,7.07
33.65,183.55,33.65
12.36,1273.07,12.36
23.25,300.88,23.25
7.79,1061.36,7.79
13.95,464.83,13.95
14.41,713.64,14.41
46.78,1295.37,46.78
108.74,1019.4,108.74
133.93,934.65,133.93
2.21,923.9,2.21
3.32,704.92,3.32
19.54,521.26,19.54
6.99,1301.14,6.99
141.45,1301.13,141.45
365.19,716.6,365.19
171.66,829.54,171.66
84.06,627.64,84.06
260.14,1368.21,260.14
52.7,511.33,52.7
6.44,688.94,6.44
3.5,1515.35,3.5
5.62,1230.87,5.62
5.52,737.13,5.52
9.12,756.96,9.12
23.31,768.09,23.31
6.44,717.19,6.44
6.61,754.22,6.61
28.0,519.97,28.0
222.49,893.06,222.49
11.24,697.09,11.24
14.37,1535.82,14.37
333.42,997.38,333.42
46.31,661.2,46.31
40.45,403.13,40.45
95.26,534.1,95.26
43.15,625.24,43.15
24.43,913.48,24.43
2.2,607.92,2.2
17.82,739.88,17.82
71.71,774.79,71.71
42.26,392.54,42.26
4.56,818.46,4.56
12.36,765.52,12.36
262.35,1211.24,262.35
29.88,1022.31,29.88
45.54,854.88,45.54
9.92,1448.52,9.92
16.63,1362.45,16.63
372.16,858.07,372.16
24.35,919.91,24.35
24.41,665.29,24.41
3.12,1138.65,3.12
4.55,659.98,4.55
3.12,972.82,3.12
6.73,635.15,6.73
39.61,849.29,39.61
6.25,1270.85,6.25
98.74,573.82,98.74
23.31,844.62,23.31
12.13,1261.12,12.13
103.56,89.41,103.56
11.54,778.18,11.54
2.47,639.13,2.47
8.05,685.43,8.05
3.12,1056.18,3.12
18.77,978.28,18.77
26.07,849.76,26.07
27.27,659.06,27.27
25.53,1356.75,25.53
328.55,760.4,328.55
45.59,91.31,45.59
2.47,199.51,2.47
10.01,728.52,10.01
53.32,962.47,53.32
28.14,820.67,28.14
54.17,787.69,54.17
458.76,1465.69,458.76
32.2,501.06,32.2
12.33,632.1,12.33
5.64,980.3,5.64
12.91,1038.89,12.91
23.38,565.71,23.38
7.82,1044.8,7.82
45.34,560.71,45.34
4.56,691.3,4.56
29.38,579.74,29.38
10.49,227.58,10.49
7.07,670.55,7.07
28.74,752.33,28.74
4.56,952.55,4.56
29.67,1277.54,29.67
286.94,1315.42,286.94
17.77,948.27,17.77
47.43,431.96,47.43
36.65,1022.52,36.65
5.64,680.63,5.64
163.89,626.04,163.89
254.42,764.12,254.42
17.83,1084.25,17.83
4.56,1024.01,4.56
229.54,648.57,229.54
267.86,1388.22,267.86
17.64,750.83,17.64
82.17,702.12,82.17
153.34,798.3,153.34
46.05,535.65,46.05
30.04,637.81,30.04
119.21,865.93,119.21
27.91,1039.13,27.91
9.95,1356.74,9.95
52.3,411.22,52.3
25.35,1247.9,25.35
